Date,Open,High,Low,Close,Adj Close,Volume
2023-05-12,920.0,930.0,870.0,905.0,905.0,72044600
2023-05-15,895.0,925.0,870.0,890.0,890.0,62792400
2023-05-16,890.0,910.0,835.0,840.0,840.0,58491600
2023-05-17,840.0,890.0,830.0,880.0,880.0,46934600
2023-05-19,880.0,880.0,830.0,835.0,835.0,24906800
2023-05-22,840.0,845.0,805.0,825.0,825.0,37210400
2023-05-23,825.0,840.0,805.0,805.0,805.0,22707200
2023-05-24,810.0,820.0,780.0,805.0,805.0,43133700
2023-05-25,790.0,800.0,770.0,775.0,775.0,23470500
2023-05-26,780.0,790.0,755.0,765.0,765.0,23617000
2023-05-29,765.0,780.0,740.0,770.0,770.0,33840800
2023-05-30,780.0,800.0,765.0,800.0,800.0,20280200
2023-05-31,790.0,795.0,775.0,780.0,780.0,19650600
2023-06-05,785.0,830.0,785.0,815.0,815.0,22922800
2023-06-06,825.0,845.0,800.0,820.0,820.0,36131500
2023-06-07,820.0,840.0,785.0,830.0,830.0,43174900
2023-06-08,830.0,860.0,820.0,840.0,840.0,19599800
2023-06-09,840.0,860.0,830.0,830.0,830.0,15719300
2023-06-12,830.0,855.0,830.0,845.0,845.0,14281800
2023-06-13,845.0,845.0,810.0,815.0,815.0,17415700
2023-06-14,815.0,835.0,795.0,830.0,830.0,31906700
2023-06-15,830.0,855.0,815.0,820.0,820.0,37938700
2023-06-16,830.0,835.0,805.0,810.0,810.0,23497700
2023-06-19,810.0,815.0,805.0,815.0,815.0,3930400
2023-06-20,815.0,825.0,795.0,805.0,805.0,7593300
2023-06-21,805.0,845.0,795.0,840.0,840.0,22632800
2023-06-22,840.0,940.0,840.0,935.0,935.0,84194800
2023-06-23,935.0,965.0,910.0,955.0,955.0,57152800
2023-06-26,955.0,970.0,925.0,930.0,930.0,19897700
2023-06-27,935.0,940.0,905.0,925.0,925.0,15282700
2023-07-03,925.0,955.0,920.0,935.0,935.0,27339100
2023-07-04,940.0,1010.0,930.0,1000.0,1000.0,69660200
2023-07-05,1020.0,1075.0,990.0,1055.0,1055.0,111514900
2023-07-06,1055.0,1060.0,1025.0,1040.0,1040.0,41156400
2023-07-07,1040.0,1050.0,1025.0,1035.0,1035.0,26349600
2023-07-10,1040.0,1070.0,1025.0,1065.0,1065.0,32248800
2023-07-11,1070.0,1075.0,1040.0,1055.0,1055.0,30207000
2023-07-12,1060.0,1070.0,1045.0,1050.0,1050.0,12946400
2023-07-13,1040.0,1050.0,995.0,1000.0,1000.0,38734100
2023-07-14,1005.0,1025.0,1005.0,1010.0,1010.0,16161500
2023-07-17,1020.0,1025.0,995.0,1015.0,1015.0,22695600
2023-07-18,1015.0,1020.0,955.0,970.0,970.0,35579700
2023-07-20,975.0,1010.0,975.0,990.0,990.0,30629500
2023-07-21,1010.0,1010.0,985.0,985.0,985.0,19080500
2023-07-24,995.0,1005.0,980.0,990.0,990.0,21180100
2023-07-25,990.0,1005.0,960.0,965.0,965.0,34455300
2023-07-26,970.0,995.0,960.0,990.0,990.0,55460100
2023-07-27,990.0,995.0,955.0,960.0,960.0,38142300
2023-07-28,965.0,975.0,935.0,960.0,960.0,14626100
2023-07-31,955.0,970.0,925.0,925.0,925.0,20168300
2023-08-01,930.0,945.0,925.0,940.0,940.0,8759300
2023-08-02,940.0,945.0,920.0,925.0,925.0,8338400
2023-08-03,920.0,1000.0,920.0,995.0,995.0,52392600
2023-08-04,995.0,1035.0,995.0,1020.0,1020.0,51389400
2023-08-07,1030.0,1080.0,990.0,1010.0,1010.0,25064800
2023-08-08,1025.0,1025.0,975.0,995.0,995.0,32516500
2023-08-09,1000.0,1005.0,980.0,980.0,980.0,8446800
2023-08-10,980.0,1010.0,975.0,1010.0,1010.0,23156500
2023-08-11,1010.0,1010.0,990.0,990.0,990.0,11024600
2023-08-14,995.0,1060.0,985.0,1050.0,1050.0,63254800
2023-08-15,1055.0,1165.0,1050.0,1155.0,1155.0,138945100
2023-08-16,1155.0,1155.0,1105.0,1110.0,1110.0,55048400
2023-08-18,1110.0,1210.0,1100.0,1180.0,1180.0,179623800
